track_name,artist_name,album,genres,release_date,duration_ms,popularity,added_at
Blame,Will Linley,Blame,singer-songwriter pop,2024-04-05,141144,44,2024-04-11 10:23:23
The Last Bit Of Us,Dean Lewis,The Last Bit Of Us,"australian pop, pop",2024-03-28,202720,62,2024-04-11 10:21:37
Slow It Down,Benson Boone,Fireworks & Rollerblades,singer-songwriter pop,2024-04-05,161831,89,2024-04-09 19:51:24
imperfect for you,Ariana Grande,eternal sunshine,pop,2024-03-08,182566,70,2024-04-09 19:50:29
Saturn,SZA,Saturn,"pop, r&b, rap",2024-02-22,186191,88,2024-04-09 19:41:51
Snooze (Acoustic) (feat. Justin Bieber),"SZA, Justin Bieber",Snooze (Acoustic) (feat. Justin Bieber),"pop, r&b, rap",2023-09-15,190464,69,2024-04-09 19:40:42
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,pop,2024-03-08,228639,89,2024-04-09 19:39:33
One Of Your Girls,Troye Sivan,Something To Give Each Other,"australian pop, pop, viral pop",2023-10-13,181481,77,2024-04-09 19:37:02
run for the hills,Tate McRae,THINK LATER,pop,2023-12-08,143940,77,2024-04-09 19:36:01
i like the way you kiss me,Artemas,i like the way you kiss me,,2024-03-19,142514,90,2024-04-09 19:33:58
"Drunk, Running",Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,245720,58,2024-04-09 19:32:44
You Forced Me To,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,183800,50,2024-04-09 19:32:32
Older,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,201186,58,2024-04-09 19:32:29
I Guess,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,224413,58,2024-04-09 19:32:18
Staying,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,151653,55,2024-04-09 19:32:15
All Falls Down,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,171840,59,2024-04-09 19:32:11
Movie Star,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,92040,52,2024-04-09 19:32:08
Like It Tends To Do,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,205960,51,2024-04-09 19:32:03
Broken Glass,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,220586,51,2024-04-09 19:30:59
Better Than This,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,214546,52,2024-04-09 19:30:46
Vortex,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,343360,56,2024-04-09 19:27:28
The Elevator,Lizzy McAlpine,Older,"alt z, boston folk, indie pop, singer-songwriter pop",2024-04-05,100266,55,2024-04-09 19:25:03
reckless driving,"Lizzy McAlpine, Ben Kessler",five seconds flat,"alt z, boston folk, indie pop, singer-songwriter pop",2022-04-08,189247,60,2024-04-09 19:22:48
eleanor & bellami,"Powfu, Lil Peej",the fleeting life of a fool,"sad lo-fi, sad rap",2024-03-22,195428,2,2024-04-09 19:17:58
digital crush,"Powfu, Ouse, Ryan Librada",the fleeting life of a fool,"sad lo-fi, sad rap",2024-03-22,159060,2,2024-04-09 19:17:55
milk in the morning,"Powfu, Jomie, Zaini, Skinny Atlas",the fleeting life of a fool,"sad lo-fi, sad rap",2024-03-22,190223,2,2024-04-09 19:17:49
blindside,"Powfu, Jomie",the fleeting life of a fool,"sad lo-fi, sad rap",2024-03-22,150000,7,2024-04-09 19:17:46
fault in the stars,"Powfu, The Chainsmokers",fault in the stars,"sad lo-fi, sad rap",2023-10-17,190476,50,2024-04-09 19:15:43
Meltdown,Niall Horan,The Show,pop,2023-06-09,153037,64,2024-04-09 19:11:09
Used To Be Young,Miley Cyrus,Endless Summer Vacation,pop,2023-08-18,191185,73,2024-04-09 19:09:49
Best Friend Breakup,Lauren Spencer Smith,Mirror,"alt z, gen z singer-songwriter, singer-songwriter pop",2023-07-14,141060,57,2024-04-09 19:09:09
Lost The Breakup,Maisie Peters,The Good Witch,"alt z, uk pop",2023-06-23,189413,62,2024-04-09 19:07:45
My Stupid Heart (with Lauv),"Walk off the Earth, Lauv",My Stupid Heart (with Lauv),"canadian rock, pop rock",2023-03-03,160866,53,2024-04-09 19:06:46
I’m Not Perfect (But I’m Trying),Rachel Chinouriri,I’m Not Perfect (But I’m Trying),"indie pop, uk pop",2022-10-25,206222,42,2024-04-09 19:06:21
Summertime Friends,The Chainsmokers,Summertime Friends,pop,2023-10-20,136586,56,2024-03-27 20:44:38
Bitter Sweet Love - Acoustic,James Arthur,Bitter Sweet Love (Acoustic),"pop, talent show, uk pop",2024-02-14,163598,41,2024-03-02 18:02:26
Happy Enough - Acoustic,Tors,Happy Enough (Acoustic),,2024-02-22,189629,27,2024-03-02 18:01:33
Don't Let Me Down (feat. JVKE),"Surfaces, JVKE",Don't Let Me Down (feat. JVKE),bedroom soul,2024-03-01,168742,50,2024-03-02 18:00:48
alone,Cat Burns,alone,uk pop,2024-02-27,172966,49,2024-03-02 18:00:36
Summertime Friends - Winter Version,The Chainsmokers,Live From Drew's Rental House,pop,2023-12-15,217098,39,2024-02-29 13:48:48
Jungle,"Alok, The Chainsmokers, Mae Stephens",Summertime Friends,"electro house, pop nacional, slap house",2023-10-20,175500,40,2024-02-29 13:48:12
Self Destruction Mode,"The Chainsmokers, bludnymph",Summertime Friends,pop,2023-10-20,147836,48,2024-02-29 13:48:09
Think Of Us,"The Chainsmokers, GRACEY",Summertime Friends,pop,2023-10-20,170616,49,2024-02-29 13:47:45
The Hills,Rachel Chinouriri,What A Devastating Turn of Events,"indie pop, uk pop",2024-02-27,211152,13,2024-02-29 13:47:04
Never Need Me,Rachel Chinouriri,What A Devastating Turn of Events,"indie pop, uk pop",2024-02-27,205431,36,2024-02-29 13:46:59
What A Devastating Turn of Events,Rachel Chinouriri,What A Devastating Turn of Events,"indie pop, uk pop",2024-02-27,259536,31,2024-02-29 13:46:43
The Hills,Rachel Chinouriri,Never Need Me,"indie pop, uk pop",2024-01-17,211152,20,2024-02-29 13:46:19
The Pretender,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,"pop, uk pop",2023-05-19,220120,55,2024-02-29 12:30:26
Slow,shy martin,Slow,"alt z, swedish electropop",2020-01-10,163547,51,2024-02-26 23:38:01
Missing Me (Missing You Version),Sody,Missing Me (Missing You Version),"alt z, uk pop",2024-02-14,212280,20,2024-02-26 23:30:02
In The Stars,Benson Boone,In The Stars,singer-songwriter pop,2022-04-29,216410,77,2024-02-26 23:21:15
To Love Someone,Benson Boone,To Love Someone,singer-songwriter pop,2023-11-10,196260,70,2024-02-26 23:19:43
Blame Brett,The Beaches,Blame My Ex,"canadian indie rock, toronto indie",2023-09-15,177003,72,2024-02-26 23:14:05
Wasted Youth - Acoustic,"goddard., Cat Burns",Wasted Youth (Acoustic),,2024-02-02,171339,26,2024-02-17 00:13:31
Selfish,Justin Timberlake,Selfish,"dance pop, pop",2024-01-25,229331,70,2024-02-17 00:09:58
The Alibi,Dylan,The Alibi,"alt z, uk pop",2024-02-09,195850,52,2024-02-17 00:04:31
Lead Me On,FLETCHER,Lead Me On,"alt z, pop",2024-01-25,173933,47,2024-02-17 00:02:46
Eyes Wide,Alfie Jukes,Eyes Wide,singer-songwriter pop,2024-01-19,147280,54,2024-02-16 23:56:07
Narcissistic,Jade LeMac,Narcissistic,alt z,2024-01-26,170000,37,2024-02-16 23:52:08
Covering Faces,Carlie Hanson,Covering Faces,alt z,2024-01-26,178260,0,2024-02-16 20:29:49
Ordinary People,Blake Rose,Ordinary People,"australian electropop, singer-songwriter pop",2020-06-26,253597,12,2024-02-15 18:44:24
Lost,Blake Rose,Lost,"australian electropop, singer-songwriter pop",2021-03-05,234623,11,2024-02-15 18:44:10
Movie,Blake Rose,A World Gone By,"australian electropop, singer-songwriter pop",2021-10-08,247289,0,2024-02-15 18:43:55
Use Me,Blake Rose,You'll Get It When You're Older,"australian electropop, singer-songwriter pop",2023-02-24,169200,26,2024-02-15 18:43:34
Magazine,Blake Rose,You'll Get It When You're Older,"australian electropop, singer-songwriter pop",2023-02-24,231693,29,2024-02-15 18:43:31
Demon,Blake Rose,You'll Get It When You're Older,"australian electropop, singer-songwriter pop",2023-02-24,165676,30,2024-02-15 18:43:27
Beautiful Things,Benson Boone,Beautiful Things,singer-songwriter pop,2024-01-18,180304,89,2024-02-15 11:22:44
You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),pop,2023-11-29,277831,76,2024-01-30 13:03:57
Good Feeling (feat. Rhys Lewis),"Bakermat, Rhys Lewis",Good Feeling (feat. Rhys Lewis),"minimal tech house, tropical house",2023-03-24,214942,50,2024-01-29 10:51:49
From The Jump,James Arthur,Bitter Sweet Love,"pop, talent show, uk pop",2024-01-26,231764,46,2024-01-28 10:07:47
Little Freak,Harry Styles,Harry's House,pop,2022-05-20,202183,72,2024-01-27 22:30:55
Just Us,James Arthur,Bitter Sweet Love,"pop, talent show, uk pop",2024-01-26,214935,51,2024-01-27 22:28:33
A Cure For Minds Unwell,Lewis Capaldi,Broken By Desire To Be Heavenly Sent - Extended Edition,"pop, uk pop",2024-01-01,204430,59,2024-01-27 21:45:15
IDK How To Talk To Girls,Beth McCarthy,IDK How To Talk To Girls,alt z,2024-01-05,160861,50,2024-01-27 21:42:29
Can't Tame Her,Zara Larsson,You Love Who You Love,"pop, scandipop, swedish electropop, swedish pop",2024-01-19,196939,29,2024-01-27 21:38:09
You Love Who You Love,Zara Larsson,You Love Who You Love,"pop, scandipop, swedish electropop, swedish pop",2024-01-19,185743,56,2024-01-27 21:37:22
Half of forever,Henrik,Half of forever,singer-songwriter pop,2024-01-05,153250,78,2024-01-27 19:41:42
Dance You Outta My Head,Cat Janice,Dance You Outta My Head,dc indie,2024-01-19,202508,63,2024-01-27 19:36:46
"he loves me, he loves me not",Jessica Baio,petals,singer-songwriter pop,2024-01-12,157598,54,2024-01-27 19:36:33
On My Mind (Forever Version),Cody Simpson,On My Mind (Forever Version),"australian pop, pop, post-teen pop",2024-01-11,175933,35,2024-01-27 19:29:54
gone for good,Devon Gabriella,gone for good,"alt z, singer-songwriter pop",2024-01-05,173503,28,2024-01-27 19:25:01
know that you're not alone - acoustic,Cat Burns,know that you're not alone (acoustic),uk pop,2024-01-19,177946,26,2024-01-27 19:24:58
Bitter Sweet Love,James Arthur,Bitter Sweet Love,"pop, talent show, uk pop",2024-01-26,165799,52,2024-01-27 19:15:25
Feather,Sabrina Carpenter,emails i can’t send fwd:,pop,2023-03-17,185552,88,2024-01-22 11:56:38
greedy,Tate McRae,greedy,pop,2023-09-15,131872,88,2024-01-22 11:54:51
Beep Beep (feat. 50 Cent),"Nicki Minaj, 50 Cent",Pink Friday 2 (Gag City PLUTO Edition),"hip pop, pop, queens hip hop, rap",2024-01-13,147469,38,2024-01-22 10:37:02
FTCU,Nicki Minaj,Pink Friday 2 (Gag City PLUTO Edition),"hip pop, pop, queens hip hop, rap",2024-01-13,172137,44,2024-01-22 10:32:10
Everybody (feat. Lil Uzi Vert),"Nicki Minaj, Lil Uzi Vert",Pink Friday 2,"hip pop, pop, queens hip hop, rap",2023-12-08,180869,71,2024-01-22 10:25:12
my fault,Zeph,crush (demos),gen z singer-songwriter,2022-04-18,60881,57,2024-01-16 08:53:02
change your mind,Zeph,closure (demos),gen z singer-songwriter,2023-12-26,74840,31,2024-01-15 09:09:02
This City Sucks,San Joseph,LEARNINGTHEROPES,,2023-09-15,191351,2,2023-12-25 13:30:23
Learning The Ropes,San Joseph,LEARNINGTHEROPES,,2023-09-15,223689,5,2023-12-25 13:05:06
messier,Tate McRae,THINK LATER,pop,2023-12-07,237191,37,2023-12-25 12:59:24
greedy,Tate McRae,THINK LATER,pop,2023-12-07,129686,62,2023-12-25 12:35:37
Blame Brett,The Beaches,Blame Brett,"canadian indie rock, toronto indie",2023-05-05,176005,33,2023-12-24 11:31:17
MERRY GO ROUND,Clinton Kane,"AND ALL I LOVED, I LOVED ALONE","alt z, gen z singer-songwriter",2023-12-08,130931,35,2023-12-24 11:25:29
you don't love me anymore,Cat Burns,you don't love me anymore,uk pop,2023-05-26,204398,40,2023-11-02 09:51:55
know that you're not alone,Cat Burns,know that you're not alone,uk pop,2023-11-01,176431,51,2023-11-02 09:45:38
Strangers,Mercer Henderson,Strangers,,2022-06-23,184762,36,2023-10-26 08:15:04
For Sale Sign,Mercer Henderson,For Sale Sign,,2022-11-18,189166,20,2023-10-26 08:11:24
Little Too Much,Mercer Henderson,Little Too Much,,2023-02-16,184592,32,2023-10-26 08:06:13
"Sunflower, Vol. 6",Harry Styles,Fine Line,pop,2019-12-13,221826,66,2023-10-20 11:04:11
Falling,Harry Styles,Fine Line,pop,2019-12-13,240133,79,2023-10-20 10:20:30
Lights Up,Harry Styles,Fine Line,pop,2019-12-13,172213,68,2023-10-20 10:09:01
Far Away,Peter Fenn,Far Away,la pop,2021-03-12,131937,51,2023-10-20 10:02:47
Golden,Harry Styles,Fine Line,pop,2019-12-13,208906,74,2023-10-20 09:52:58
Secret,Joshua Bassett,Crisis / Secret / Set Me Free,singer-songwriter pop,2021-12-03,192413,52,2023-10-20 09:48:00
you're just a guy,Avery Lynch,you're just a guy,"alt z, gen z singer-songwriter",2023-09-29,230652,36,2023-10-20 09:37:01
SEASONS,Britton,SEASONS,"alt z, singer-songwriter pop",2023-08-18,160776,35,2023-10-18 21:23:45
Wish You The Best,Lewis Capaldi,Wish You The Best,"pop, uk pop",2023-04-14,210880,1,2023-10-08 10:28:17
Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',Lewis Capaldi,Broken By Desire To Be Heavenly Sent,"pop, uk pop",2023-05-19,205080,69,2023-10-08 10:06:34
vampire,Olivia Rodrigo,GUTS,pop,2023-09-08,219724,85,2023-10-08 10:03:39
Face in the Crowd,Freya Ridings,Face in the Crowd,uk pop,2023-02-17,204503,38,2023-10-08 09:59:59
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]","art pop, pop",2023-07-13,222369,87,2023-10-08 09:57:31
Walk,Griff,One Foot In Front Of The Other,"alt z, uk pop",2021-06-18,152894,59,2023-10-08 09:56:05
Tough (The Girls Song),Will Linley,Tough (The Girls Song),singer-songwriter pop,2023-06-09,182446,45,2023-10-08 09:52:56
Break For You,Valley,Lost In Translation,"hopebeat, indietronica, singer-songwriter pop",2023-06-23,154885,47,2023-10-08 09:52:12
Kissing In Swimming Pools,Holly Humberstone,Kissing In Swimming Pools,"alt z, indie pop, modern alternative pop, uk pop",2023-10-05,287567,39,2023-10-08 09:51:43
Stay Together,Lauv,All 4 Nothing,pop,2022-08-05,140316,47,2023-09-28 07:49:41
Love U Like That,Lauv,Love U Like That,pop,2023-08-04,211733,68,2023-09-19 13:01:14
NAKED,JUJ,NAKED,,2022-02-09,157936,23,2023-09-16 16:10:33
How To Miss You,San Joseph,How To Miss You,,2022-09-21,186640,25,2023-08-23 14:33:32
